                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4924,                 3.0156,                  1.547,                0.99556,                0.17886,                0.60353,                0.33725,                 1.2303,                 3.4241,                 1.5094,             0.00046962,             0.00046962,             0.00046962
                      2,                 1.4315,                 1.9405,                 1.4097,                0.82823,                0.65793,                0.80938,                0.47484,                 1.4216,                 2.2195,                  1.638,             0.00094284,             0.00094284,             0.00094284
                      3,                  1.422,                 1.7239,                 1.4282,                0.70046,                0.69786,                0.74393,                0.39885,                   1.49,                 2.1143,                 1.6482,              0.0014129,              0.0014129,              0.0014129
                      4,                 1.4089,                  1.579,                 1.4135,                0.74536,                0.70079,                0.81548,                0.46715,                 1.4632,                 1.7987,                 1.6298,              0.0014149,              0.0014149,              0.0014149
                      5,                 1.3874,                 1.4317,                 1.3951,                0.87289,                0.83448,                0.91362,                0.55582,                 1.3185,                 1.2886,                 1.4702,              0.0014101,              0.0014101,              0.0014101
                      6,                 1.3727,                 1.2913,                 1.3771,                0.72571,                0.75814,                0.71838,                0.39863,                 1.5097,                 1.6347,                  1.599,              0.0014054,              0.0014054,              0.0014054
                      7,                 1.3464,                 1.2006,                 1.3659,                0.94241,                0.85754,                0.93579,                0.58622,                 1.3071,                 1.0629,                 1.4447,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.3325,                 1.1495,                 1.3462,                0.91853,                0.86392,                0.92065,                0.58089,                 1.2887,                0.98195,                 1.4022,               0.001396,               0.001396,               0.001396
                      9,                 1.3067,                 1.0559,                 1.3282,                0.91323,                0.83523,                0.91415,                0.56051,                 1.3314,                0.97974,                 1.4648,              0.0013913,              0.0013913,              0.0013913
                     10,                 1.3198,                 1.0469,                 1.3463,                0.92565,                 0.8756,                0.92746,                0.58978,                 1.2685,                0.93205,                 1.4048,              0.0013866,              0.0013866,              0.0013866
